number;channel;site;q;year;season
757;LUIS;AM;1;09;P
758;LUIS;AM;2;09;P
759;LUIS;AM;4;09;P
760;LUIS;AM;1;09;E
761;LUIS;AM;3;09;E
762;LUIS;AM;4;09;E
763;LUIS;AM;1;11;P
764;LUIS;AM;2;11;P
765;LUIS;AM;4;11;P
766;LUIS;AM;1;11;E
767;LUIS;AM;2;11;E
768;LUIS;AM;4;11;E
769;LUIS;AM;1;12;P
770;LUIS;AM;3;12;P
771;LUIS;AM;4;12;P
772;LUIS;AM;2;12;E
773;LUIS;AM;3;12;E
774;LUIS;AM;4;12;E
775;LUIS;AM;2;13;P
776;LUIS;AM;3;13;P
777;LUIS;AM;4;13;P
778;LUIS;AM;1;13;E
779;LUIS;AM;2;13;E
780;LUIS;AM;3;13;E
781;LUIS;AM;1;15;P
782;LUIS;AM;2;15;P
783;LUIS;AM;3;15;P
784;LUIS;AM;2;15;E
785;LUIS;AM;3;15;E
786;LUIS;AM;4;15;E
787;LUIS;AM;2;16;P
788;LUIS;AM;3;16;P
789;LUIS;AM;4;16;P
790;LUIS;AM;1;16;E
791;LUIS;AM;2;16;E
792;LUIS;AM;3;16;E
793;LUIS;AMN;1;07;P
794;LUIS;AMN;2;07;P
795;LUIS;AMN;3;07;P
796;LUIS;AMN;4;07;P
797;LUIS;AMN;2;07;E
798;LUIS;AMN;3;07;E
799;LUIS;AMN;4;07;E
800;LUIS;AMN;1;09;P
801;LUIS;AMN;2;09;P
802;LUIS;AMN;3;09;P
803;LUIS;AMN;2;09;E
804;LUIS;AMN;3;09;E
805;LUIS;AMN;4;09;E
806;LUIS;AMN;2;11;P
807;LUIS;AMN;3;11;P
808;LUIS;AMN;4;11;P
809;LUIS;AMN;2;11;E
810;LUIS;AMN;3;11;E
811;LUIS;AMN;4;11;E
812;LUIS;AMN;1;12;P
813;LUIS;AMN;2;12;P
814;LUIS;AMN;3;12;P
815;LUIS;AMN;1;12;E
816;LUIS;AMN;2;12;E
817;LUIS;AMN;4;12;E
818;LUIS;AMN;1;13;P
819;LUIS;AMN;2;13;P
820;LUIS;AMN;3;13;P
821;LUIS;AMN;2;13;E
822;LUIS;AMN;3;13;E
823;LUIS;AMN;4;13;E
824;LUIS;AMN;1;15;P
825;LUIS;AMN;2;15;P
826;LUIS;AMN;4;15;P
827;LUIS;AMN;1;15;E
828;LUIS;AMN;3;15;E
829;LUIS;AMN;4;15;E
830;LUIS;AMN;1;16;P
831;LUIS;AMN;2;16;P
832;LUIS;AMN;3;16;P
833;LUIS;AMN;1;16;E
834;LUIS;AMN;2;16;E
835;LUIS;AMN;4;16;E
836;LUIS;AV;1;03;E
837;LUIS;AV;2;03;E
838;LUIS;AV;3;03;E
839;LUIS;AV;4;03;E
840;LUIS;AV;1;04;P
841;LUIS;AV;2;04;P
842;LUIS;AV;3;04;P
843;LUIS;AV;4;04;P
844;LUIS;AV;1;07;P
845;LUIS;AV;2;07;P
846;LUIS;AV;4;07;P
847;LUIS;AV;1;07;E
848;LUIS;AV;2;07;E
849;LUIS;AV;4;07;E
850;LUIS;AV;2;09;P
851;LUIS;AV;3;09;P
852;LUIS;AV;4;09;P
853;LUIS;AV;2;09;E
854;LUIS;AV;3;09;E
855;LUIS;AV;4;09;E
856;LUIS;AV;1;11;P
857;LUIS;AV;2;11;P
858;LUIS;AV;3;11;P
859;LUIS;AV;1;11;E
860;LUIS;AV;2;11;E
